city,diagnostic_id,ranking_method,start_year
Barcelona,djfmean,Blend2C,1999
Barcelona,djfmean,NAO-Teleconnect,2020
Barcelona,djfmean,BSC-DPPB_PatCor_tos_NAtl_1-3,2020
Barcelona,tn20,Blend2C,1999
Barcelona,tn20,NAO-Teleconnect,2020
Barcelona,tn20,BSC-DPPB_PatCor_tos_NAtl_1-3,2020
Barcelona,tx15day,Blend2C,1999
Barcelona,tx15day,NAO-Teleconnect,2020
Barcelona,tx15day,BSC-DPPB_PatCor_tos_NAtl_1-3,2020
Bergen,djfmean,Blend2C,1999
Bergen,djfmean,NAO-Teleconnect,2020
Bergen,djfmean,BSC-DPPB_PatCor_tos_NAtl_1-3,2020
Bergen,tn20,Blend2C,1999
Bergen,tn20,NAO-Teleconnect,2020
Bergen,tn20,BSC-DPPB_PatCor_tos_NAtl_1-3,2020
Bergen,tx15day,Blend2C,1999
Bergen,tx15day,NAO-Teleconnect,2020
Bergen,tx15day,BSC-DPPB_PatCor_tos_NAtl_1-3,2020
Paris,djfmean,Blend2C,1999
Paris,djfmean,NAO-Teleconnect,2020
Paris,djfmean,BSC-DPPB_PatCor_tos_NAtl_1-3,2020
Paris,tn20,Blend2C,1999
Paris,tn20,NAO-Teleconnect,2003
Paris,tn20,BSC-DPPB_PatCor_tos_NAtl_1-3,2019
Paris,tx15day,Blend2C,1999
Paris,tx15day,NAO-Teleconnect,2020
Paris,tx15day,BSC-DPPB_PatCor_tos_NAtl_1-3,2020
Prague,djfmean,Blend2C,1999
Prague,djfmean,NAO-Teleconnect,2020
Prague,djfmean,BSC-DPPB_PatCor_tos_NAtl_1-3,2020
Prague,tn20,Blend2C,1999
Prague,tn20,NAO-Teleconnect,2020
Prague,tn20,BSC-DPPB_PatCor_tos_NAtl_1-3,2020
Prague,tx15day,Blend2C,1999
Prague,tx15day,NAO-Teleconnect,2020
Prague,tx15day,BSC-DPPB_PatCor_tos_NAtl_1-3,2020
